sample,SFA,MUFA,PUFA,PUFA_n3,LC_PUFA_n3,PUFA_n6,LC_PUFA_n6,treatment,tank,genotype
C-T1-2-41,50.10164109,5.665391785,38.94952933,25.05486921,19.41230897,11.47759346,8.781769329,Control,1,2
C-T1-2-49,47.70979002,2.58034101,41.43188137,26.74682581,20.70198454,12.68420312,10.47096981,Control,1,2
C-T1-4-44,61.53665387,2.732596473,29.27318136,17.9707663,15.46532252,9.035108672,7.108152804,Control,1,4
C-T1-4-45,59.4976417,2.447449187,30.16491636,16.99532916,14.89562067,10.71127499,8.814864145,Control,1,4
C-T1-5-28,55.30808477,2.997768137,32.79731486,20.72509854,16.82189452,10.27233585,8.379571761,Control,1,5
C-T2-2-14,44.77051207,3.087428268,43.52154765,27.96025682,21.73282182,13.12120446,11.07594794,Control,2,2
C-T2-2-21,45.82806885,3.016445779,41.90724382,26.72161761,20.71742632,12.91696016,10.86582758,Control,2,2
C-T2-3-41,53.40373952,2.992004064,34.56063642,18.28777644,15.05574693,14.23785965,11.46088662,Control,2,3
C-T2-4-23,56.67746067,2.695604411,32.15768682,18.57451325,15.39751457,11.61435669,9.468940875,Control,2,4
C-T2-5-38,60.59429207,3.162199947,28.88926013,17.98880771,14.67941811,8.892530276,6.565409314,Control,2,5
C-T2-5-40,56.72716409,3.24796782,32.37988638,20.14812453,16.1360681,10.19050136,7.871982083,Control,3,5
C-T3-1-04,53.7538424,2.899264012,33.55248163,19.64935966,16.3920501,11.82862078,9.588912796,Control,3,1
C-T3-3-12,55.36477777,3.028292717,32.71770319,16.76974962,13.90998509,13.62115072,10.76798036,Control,3,3
C-T3-4-33,62.46032866,2.63550549,28.11476984,16.39444188,14.33206322,9.093859499,7.008582725,Control,3,4
C-T3-4-34,57.28765896,2.648293997,32.43958752,19.77905981,16.43926392,10.3040757,8.065435922,Control,3,4
C-T4-1-29,53.47697982,3.065629086,35.31667741,20.31974416,17.03947974,12.92190002,10.53955074,Control,4,1
C-T4-2-12,52.81201718,2.648422297,36.04355101,21.00745875,17.03634928,12.97411974,10.85186194,Control,4,2
C-T4-3-21,48.83687268,3.233525433,37.7745825,19.2732937,14.87930014,15.33535455,11.52050791,Control,4,3
C-T4-4-37,61.01543732,2.589571782,29.66085451,17.93518147,14.9663684,9.678452477,7.408247069,Control,4,4
C-T4-5-07,58.94607756,3.20527169,30.39284208,19.39534088,16.16815911,9.024274463,6.950425946,Control,4,5
D-T1-1-21,43.75494536,3.845922387,44.82717253,30.70486448,22.96459996,12.22952733,9.724086613,Dissolved,1,1
D-T1-2-46,45.47699213,4.013367338,42.12748501,26.92512815,20.59472088,13.15051238,10.10294145,Dissolved,1,2
D-T1-3-23,51.09118637,4.395577566,38.07853097,22.65797427,17.9321036,13.42490191,9.244467045,Dissolved,1,3
D-T1-4-40,59.39400092,2.842511374,31.28919156,20.11534814,16.80688893,9.182956365,7.25311176,Dissolved,1,4
D-T1-4-43,55.44787808,3.542171147,33.94399953,21.74608806,17.51404622,10.26146351,8.096089169,Dissolved,1,4
D-T2-2-31,37.62097092,4.240447288,49.01851599,32.59118331,24.59577522,14.31186722,12.03470503,Dissolved,2,2
D-T2-3-25,51.69710313,3.846874836,33.60427546,18.82524896,14.52239327,12.93191889,10.22845664,Dissolved,2,3
D-T2-4-20,59.44540665,3.761326079,29.18384408,17.22750496,14.25487605,9.923237854,7.805958367,Dissolved,2,4
D-T2-5-01,54.76492641,4.489532737,31.62871208,19.44182331,15.11204986,10.34841829,7.962481491,Dissolved,2,5
D-T2-5-15,58.6943935,3.420223109,29.91812427,18.15623137,14.61682746,9.953125085,7.252820802,Dissolved,2,5
D-T3-2-51,48.58560016,4.061466286,37.7013172,22.67324807,16.88909328,13.27682191,10.91539149,Dissolved,3,2
D-T3-3-32,47.93482955,3.32846815,39.74962375,23.11009767,17.72227979,14.56312909,11.37296703,Dissolved,3,3
D-T3-4-32,49.19494405,5.943471533,34.5852748,19.46425972,14.72644809,12.82719944,10.36944895,Dissolved,3,4
D-T3-5-04,50.70295135,4.313368146,35.04125769,19.62359167,15.11325365,13.46484013,9.943951396,Dissolved,3,5
D-T3-5-10,50.08953193,4.254568573,36.95073632,22.3698611,16.88054608,12.81145117,10.06233832,Dissolved,3,5
D-T4-2-25,45.80590777,4.116015482,39.19664261,23.13266597,17.66055426,14.32365082,12.24626707,Dissolved,4,2
D-T4-2-36,42.26800493,3.828103175,44.67934172,27.35994104,20.99832686,15.43849564,12.66074134,Dissolved,4,2
D-T4-4-02,46.43947641,4.284919086,38.46970348,22.0378806,16.70833551,14.55034795,12.08472422,Dissolved,4,4
D-T4-4-28,47.98824637,4.074214867,39.10917095,22.07031104,17.55241571,15.08683497,11.98006346,Dissolved,4,4
D-T4-5-14,44.96957282,4.931663256,40.84410176,25.70333545,19.81823713,13.16415422,10.52597489,Dissolved,4,5
FL-T10-3-10,68.25874718,5.190350197,17.94221265,7.900442451,6.870815263,8.453688626,5.188014072,Field,1,3
FL-T1-3-01,67.15486467,5.459121687,18.22314558,8.321463761,7.489092335,8.255672927,5.234021852,Field,1,3
FL-T2-2-04,52.37596084,5.230685682,31.08734475,16.40883607,14.49931215,12.87884128,10.38736697,Field,1,2
FL-T3-4-03,63.79194872,4.783022391,21.24192046,9.972052782,9.016664758,9.31282427,6.814986991,Field,1,4
FL-T4-4-05,62.68518852,5.246320962,21.63000912,10.06639709,8.746349972,9.717531593,7.284822027,Field,1,4
FL-T5-2-07,60.91880824,4.932297435,24.82103427,14.07624647,12.96998159,9.000079843,6.845483668,Field,1,2
FL-T6-5-08,61.61322155,5.309770727,23.09257688,12.19709027,10.93474222,9.091487045,6.285432712,Field,1,5
FL-T7-5-04,65.06531321,4.785854955,21.13384955,11.25285311,9.749860621,8.157391125,5.669575544,Field,1,5
FL-T8-1-08,63.21667698,6.201674707,20.09617257,9.899316221,8.572223383,8.57110727,6.099284135,Field,1,1
FL-T9-1-06,64.71709256,6.237550076,18.5743612,9.069583063,7.947577882,7.87666499,5.553225059,Field,1,1
F-T1-1-20,53.06324366,2.867019577,36.59298502,23.57388672,19.03881934,11.23100443,9.035608337,Fish,1,1
F-T1-2-50,43.78036814,2.621444298,43.9644236,28.20310682,21.3080979,13.6458618,11.42545475,Fish,1,2
F-T1-3-57,54.03282215,3.088900511,34.02986157,20.00780902,15.37525132,11.84014732,9.086792807,Fish,1,3
F-T1-4-47,56.50799043,2.553345708,33.42918517,21.35661808,17.10101532,10.17507234,8.116952681,Fish,1,4
F-T1-4-48,58.69736488,2.901277109,31.25786074,19.62752868,16.16104575,9.597108835,7.534725202,Fish,1,4
F-T2-2-15-2,45.67377018,4.309539888,41.78347754,27.34237682,20.94844525,12.45110957,10.35906112,Fish,2,2
F-T2-3-27,44.8323088,3.011259901,35.64823438,20.17625077,15.17627216,13.32453616,10.81849547,Fish,2,3
F-T2-3-27,50.89407162,3.322505325,36.30956593,21.30417903,16.5110493,12.8005019,9.887303179,Fish,2,3
F-T2-3-28,56.27366155,3.413161807,31.21785634,17.57018428,14.42840751,11.63939227,9.012125439,Fish,2,3
F-T2-5-03,52.69500022,2.982329692,35.28001156,22.87724312,17.7780912,10.65116591,8.460010944,Fish,2,5
F-T3-1-16,43.57711766,2.574748938,44.34951801,29.86757145,23.3995965,12.60921084,10.42737156,Fish,3,1
F-T3-2-07,44.14614277,2.602457597,43.16399308,26.6290619,20.71994006,14.71899299,12.60667934,Fish,3,2
F-T3-2-29,44.75347806,2.383393541,40.57217328,23.83283532,18.36284952,14.3962951,12.1737516,Fish,3,2
F-T3-4-06,51.65616578,2.790211874,35.71011797,21.41428386,16.88226077,12.35366189,10.38354076,Fish,3,4
F-T3-4-09,44.60020387,2.705305866,39.75046802,23.49606571,17.90834761,14.28907631,12.30868573,Fish,3,4
F-T4-1-30,45.43587377,2.634292135,40.31274776,22.5206951,17.68296721,15.5904485,12.95998668,Fish,4,1
F-T4-2-20,42.17831611,2.28500317,41.18733241,23.50912043,18.23110123,15.56871475,13.29235723,Fish,4,2
F-T4-3-42,46.01696661,3.214433787,37.31563538,21.09220744,15.99507246,14.43918184,11.84581909,Fish,4,3
F-T4-4-08-2,51.0265247,4.717824256,34.52151836,19.9477526,15.47025449,12.78672237,10.93158754,Fish,4,4
F-T4-5-43,52.44650601,2.788176125,32.94117327,19.72585058,15.19210728,11.44748756,8.900226992,Fish,4,5
L-T1-2-01,37.73872748,3.14476951,47.41571878,30.97847592,22.93690652,14.84414454,12.34045408,LiveFeeds,1,2
L-T1-2-22,40.02021196,3.048986001,43.94143446,27.04833709,20.64138917,15.09068737,12.63776279,LiveFeeds,1,2
L-T1-3-15,46.4669849,3.530969146,37.82718339,20.2554996,15.63814745,15.33991388,12.44144157,LiveFeeds,1,3
L-T1-4-27,42.91883389,3.991014873,41.625851,27.19215549,20.85383019,12.59110222,10.04442133,LiveFeeds,1,4
L-T1-5-01,50.16831339,4.743912873,33.68329086,19.94489862,15.4044188,11.89544148,9.581341189,LiveFeeds,1,5
L-T2-2-08,42.91942115,3.203614753,42.42983015,25.94715588,19.79279421,14.8750164,12.55242556,LiveFeeds,2,2
L-T2-3-20,50.14826746,3.511038121,34.9639483,17.94185085,13.89915959,14.83488311,11.55129833,LiveFeeds,2,3
L-T2-3-38,43.7216755,4.668414167,41.80081752,25.10780404,19.0336535,14.89929988,11.6283898,LiveFeeds,2,3
L-T2-4-42,40.1985402,3.098789766,45.46657048,29.83697678,23.05570892,13.81690955,11.35874913,LiveFeeds,2,4
L-T2-5-33-2,45.80211765,5.56155655,37.55950954,24.22365301,18.19402868,11.15946021,8.108839494,LiveFeeds,2,5
L-T3-1-13,47.41100515,3.77503886,37.49647945,21.9145131,17.47925042,14.02553194,11.76625401,LiveFeeds,3,1
L-T3-1-19,44.56719512,2.919289676,39.20997514,22.26168609,17.2388601,14.81118924,11.95526807,LiveFeeds,3,1
L-T3-2-04,42.00361208,4.299545285,41.61829938,23.48416121,17.94130937,16.2250975,13.81295403,LiveFeeds,3,2
L-T3-2-32,46.15700302,4.09927991,39.23730787,23.11013646,17.48113921,14.36979486,11.74388827,LiveFeeds,3,2
L-T3-5-21,44.47514763,6.917099636,36.84729189,20.51652333,15.31730178,14.04026858,10.55194732,LiveFeeds,3,5
L-T4-1-33,41.73099444,3.431396052,41.11011028,25.68913139,18.96100994,13.83325296,11.01991788,LiveFeeds,4,1
L-T4-1-40,36.62931649,3.722867455,46.8466223,29.37270215,22.56169731,15.69282393,12.98794587,LiveFeeds,4,1
L-T4-3-43,44.78057906,5.015314274,38.88299483,21.78542888,16.21588494,15.20119872,11.69680127,LiveFeeds,4,3
L-T4-5-13,49.8072267,3.909489545,36.74890085,24.0278205,18.53971688,11.03622399,8.412356185,LiveFeeds,4,5
L-T4-5-19,45.0723673,5.297391982,39.02010529,24.19693861,18.35090836,12.99219928,9.905476967,LiveFeeds,4,5
M-T1-2-40,36.0413374,2.802003832,49.29532744,31.62466481,23.14650342,15.66317578,13.18227962,Mix,1,2
M-T1-3-55,45.27549852,2.975766006,40.07631545,24.42055531,19.13665059,13.73479782,11.37949689,Mix,1,3
M-T1-3-56,47.37432665,3.544323827,38.76591083,24.14230104,17.90450693,12.80118321,10.26043478,Mix,1,3
M-T1-4-46,44.51140599,3.657677402,41.38827791,25.37992965,18.5441891,13.73968914,10.66192609,Mix,1,4
M-T1-5-44,44.84432093,3.507123794,40.12324472,23.20718222,17.30568315,14.9698736,12.32646916,Mix,1,5
M-T2-2-37,40.20331531,3.331103261,43.39572074,25.59826813,19.14589708,15.81389116,13.3988687,Mix,2,2
M-T2-3-19,46.1450895,3.496121051,38.77237161,21.9267352,16.56390043,14.97391876,11.80569496,Mix,2,3
M-T2-4-29,52.53345236,3.206458311,35.30261151,22.6109165,17.4441271,10.74451435,8.551937132,Mix,2,4
M-T2-5-30,49.09775008,3.552892248,37.62725069,24.3707936,18.12871094,11.55429279,8.798581725,Mix,2,5
M-T2-5-35,49.57605977,3.873242451,34.00972625,20.12206638,14.71737494,11.72545667,8.873729666,Mix,2,5
M-T3-3-33,43.85387407,3.683593705,43.7556879,28.55415719,21.7051812,13.31623697,10.74246239,Mix,3,3
M-T3-4-05,52.30292883,3.092589954,35.45923768,22.38755069,17.98463815,11.05906674,8.933151226,Mix,3,4
M-T3-4-18,50.80806339,4.315298153,34.97171172,21.5027383,16.35522313,11.61902267,9.500319385,Mix,3,4
M-T3-5-16,53.07683628,3.878436029,34.33619172,20.93176958,16.44768261,11.18658912,8.279397919,Mix,3,5
M-T3-5-41,48.21431294,3.635738478,36.70079805,21.65930277,16.37032612,12.8957963,10.4360665,Mix,3,5
M-T4-2-02,48.33570133,3.255580535,37.71283416,21.37403154,15.87088303,14.04864542,10.97369767,Mix,4,2
M-T4-3-14,49.62139257,4.932840505,35.46667542,18.57579568,14.68588531,14.91833505,12.03730911,Mix,4,3
M-T4-4-11,42.52937573,5.023203794,41.41338975,24.67438438,18.80070137,14.77244989,12.55332313,Mix,4,4
M-T4-4-26,50.25508213,3.334889529,36.63493878,22.07116349,16.76042273,12.75931891,10.12558699,Mix,4,4
M-T4-5-42,44.85573873,5.668348655,37.59170245,22.61641032,16.71009503,13.07739199,10.79843565,Mix,4,5
P-T1-1-08-2,44.98664447,3.871367698,41.45930341,25.50873077,19.92805967,14.31289497,11.53624407,Pellets,1,1
P-T1-1-26,42.78976544,2.79765736,46.19532062,29.8929356,22.62213325,14.52830906,11.89606914,Pellets,1,1
P-T1-2-34,43.70029526,2.584887417,43.14939509,24.00880797,18.53249448,17.25919391,14.69827282,Pellets,1,2
P-T1-3-02,48.1224194,5.083750884,36.91112727,18.88297546,14.68240189,15.101785,11.41909887,Pellets,1,3
P-T1-4-38,51.88012817,2.885736162,35.73923402,20.17805332,15.97720123,13.6161402,11.26965105,Pellets,1,4
P-T2-1-38,50.30307331,3.267376916,39.06419399,24.44192285,19.49557697,12.88824624,10.38748662,Pellets,2,1
P-T2-2-05,52.81395823,6.26229216,34.49572971,20.2094017,16.34481675,11.67397664,8.011146518,Pellets,2,2
P-T2-2-24,54.27994701,2.497069731,34.16173787,19.74596753,15.85291121,12.22848846,10.12608669,Pellets,2,2
P-T2-4-01,58.01038565,5.636899252,28.21393486,15.46628881,12.76453229,10.3268079,7.374831716,Pellets,2,4
P-T2-5-05,55.2588897,4.241882673,31.44423734,16.6436982,13.05654428,12.73004136,9.021760004,Pellets,2,5
P-T3-2-11,39.53285619,2.696093275,48.13400473,31.0759341,23.37100312,15.24326637,12.95949263,Pellets,3,2
P-T3-2-33,42.81932112,2.660660756,46.25107212,29.44210367,21.87214465,14.72992916,12.08849363,Pellets,3,2
P-T3-3-05,50.69698791,4.824860649,34.67806104,17.88175839,13.88300428,14.54998831,11.30636082,Pellets,3,3
P-T3-5-08,46.8769455,4.493263397,39.50577966,24.72041344,18.87606859,12.89009996,10.54096903,Pellets,3,5
P-T3-5-26,54.14635299,4.340931293,32.5084287,19.69040385,14.8655568,10.94757415,8.529499913,Pellets,3,5
P-T4-1-50,49.21340588,3.726508585,38.63054681,23.18518482,18.0790608,13.51520735,10.36459978,Pellets,4,1
P-T4-2-06,43.88446101,4.882230747,37.05578509,19.75279589,15.33125769,13.94184008,10.90235954,Pellets,4,2
P-T4-2-26,56.03022377,2.76093606,33.7014989,20.43599788,16.4273616,11.11661919,8.439373501,Pellets,4,2
P-T4-4-03,47.2330609,5.747337277,34.89461443,17.20616822,12.95079814,14.49131266,9.327846063,Pellets,4,4
P-T4-5-06,42.42600409,5.808541054,37.69844236,19.04140401,13.51193339,15.94551918,10.66037074,Pellets,4,5
S-T10-2-07,42.54198699,6.717663666,36.74834237,19.68579493,14.06385104,14.8585487,12.61380435,SeaSim,1,2
S-T1-5-09,51.06762564,6.294267251,32.65503684,17.44189658,13.6010584,12.82854302,9.328651367,SeaSim,1,5
S-T2-5-05,53.1302751,7.189027655,27.85326317,15.22491712,10.52422631,9.99711982,6.807582256,SeaSim,1,5
S-T3-1-10,37.10906482,5.670820415,44.59204641,23.89316291,17.65704754,18.57052777,14.9648585,SeaSim,1,1
S-T4-2-04,43.91867342,6.774935993,32.16958728,16.0307661,11.12052316,13.73092646,11.21416922,SeaSim,1,2
S-T5-4-09,46.19644629,7.611630398,30.66394028,15.24227377,10.10764201,12.94430517,9.444368819,SeaSim,1,4
S-T6-1-09,41.29033963,5.762465674,40.48005988,24.12126229,17.31855358,14.03475199,11.66188002,SeaSim,1,1
S-T7-3-09,41.95036916,6.655159099,38.38487802,20.28308092,14.3544964,15.97204359,12.75317849,SeaSim,1,3
S-T8-3-03,52.39846683,6.582647946,28.18863849,13.63337942,10.03325223,12.51707868,9.340328263,SeaSim,1,3
S-T9-4-10,48.07425682,6.15198669,33.16148505,17.05240692,12.54229531,13.83961087,11.01309637,SeaSim,1,4
ROT-01,33.48408464,15.11120163,35.21128614,21.17346598,19.3503745,11.7535161,4.69953754,Rotifer,1,0
ROT-02,30.06966124,15.18571309,38.03381653,21.85069971,21.4207878,14.12826846,6.555563622,Rotifer,2,0
ROT-03,29.96350878,15.23705987,37.20309525,21.91358147,21.35101942,13.44063324,5.800734011,Rotifer,3,0
PEL-01,18.63601935,9.402679662,37.20486525,9.372687799,4.594288645,26.88200554,0.69000198,Pellets_diet,1,0
PEL-02,18.6981685,9.4816359,37.25834475,9.340271659,4.572494771,26.96676539,0.770783248,Pellets_diet,2,0
PEL-03,18.66156075,9.437854673,37.40852555,9.342946167,4.624855607,27.07356326,0.936363351,Pellets_diet,3,0
ALG-01,58.56294289,6.222339702,26.75348475,18.52141464,8.242468785,5.493605159,0,Algae,1,0
ALG-02,27.24515879,10.40134827,50.35316576,38.48178846,13.15407871,8.682929708,1.966878851,Algae,2,0
ALG-03,24.87375528,9.282084695,53.73704361,41.73493225,12.82979433,9.462335734,2.473625727,Algae,3,0
ART-01,19.41156382,3.813407964,47.65940053,37.75764613,2.817419337,8.135675908,1.42669963,Artemia,1,0
ART-02,18.95732528,4.640574257,46.72854734,35.79847293,3.648823173,9.019713818,1.422411529,Artemia,2,0
ART-03,19.01590902,4.673945669,46.45243451,35.4784099,3.298385545,9.020909252,1.351943871,Artemia,3,0