sample,treatment,tank,genotype
C-T1-2-41,Control,1,2
C-T1-2-49,Control,1,2
C-T1-4-44,Control,1,4
C-T1-4-45,Control,1,4
C-T1-5-28,Control,1,5
C-T2-2-14,Control,2,2
C-T2-2-21,Control,2,2
C-T2-3-41,Control,2,3
C-T2-4-23,Control,2,4
C-T2-5-38,Control,2,5
C-T3-5-40,Control,3,5
C-T3-1-04,Control,3,1
C-T3-3-12,Control,3,3
C-T3-4-33,Control,3,4
C-T3-4-34,Control,3,4
C-T4-1-29,Control,4,1
C-T4-2-12,Control,4,2
C-T4-3-21,Control,4,3
C-T4-4-37,Control,4,4
C-T4-5-07,Control,4,5
D-T1-1-21,Dissolved,1,1
D-T1-2-46,Dissolved,1,2
D-T1-3-23,Dissolved,1,3
D-T1-4-40,Dissolved,1,4
D-T1-4-43,Dissolved,1,4
D-T2-2-31,Dissolved,2,2
D-T2-3-25,Dissolved,2,3
D-T2-4-20,Dissolved,2,4
D-T2-5-01,Dissolved,2,5
D-T2-5-15,Dissolved,2,5
D-T3-2-51,Dissolved,3,2
D-T3-3-32,Dissolved,3,3
D-T3-4-32,Dissolved,3,4
D-T3-5-04,Dissolved,3,5
D-T3-5-10,Dissolved,3,5
D-T4-2-25,Dissolved,4,2
D-T4-2-36,Dissolved,4,2
D-T4-4-02,Dissolved,4,4
D-T4-4-28,Dissolved,4,4
D-T4-5-14,Dissolved,4,5
FL-T10-3-10,Field,1,3
FL-T1-3-01,Field,1,3
FL-T2-2-04,Field,1,2
FL-T3-4-03,Field,1,4
FL-T4-4-05,Field,1,4
FL-T5-2-07,Field,1,2
FL-T6-5-08,Field,1,5
FL-T7-5-04,Field,1,5
FL-T8-1-08,Field,1,1
FL-T9-1-06,Field,1,1
F-T1-1-20,Fish,1,1
F-T1-2-50,Fish,1,2
F-T1-3-57,Fish,1,3
F-T1-4-47,Fish,1,4
F-T1-4-48,Fish,1,4
F-T2-2-15,Fish,2,2
F-T2-3-22,Fish,2,3
F-T2-3-27,Fish,2,3
F-T2-3-28,Fish,2,3
F-T2-5-03,Fish,2,5
F-T3-1-16,Fish,3,1
F-T3-2-07,Fish,3,2
F-T3-2-29,Fish,3,2
F-T3-4-06,Fish,3,4
F-T3-4-09,Fish,3,4
F-T4-1-30,Fish,4,1
F-T4-2-20,Fish,4,2
F-T4-3-42,Fish,4,3
F-T4-4-08,Fish,4,4
F-T4-5-43,Fish,4,5
L-T1-2-01,LiveFeeds,1,2
L-T1-2-22,LiveFeeds,1,2
L-T1-3-15,LiveFeeds,1,3
L-T1-4-27,LiveFeeds,1,4
L-T1-5-01,LiveFeeds,1,5
L-T2-2-08,LiveFeeds,2,2
L-T2-3-20,LiveFeeds,2,3
L-T2-3-38,LiveFeeds,2,3
L-T2-4-42,LiveFeeds,2,4
L-T2-5-33,LiveFeeds,2,5
L-T3-1-13,LiveFeeds,3,1
L-T3-1-19,LiveFeeds,3,1
L-T3-2-04,LiveFeeds,3,2
L-T3-2-32,LiveFeeds,3,2
L-T3-5-21,LiveFeeds,3,5
L-T4-1-33,LiveFeeds,4,1
L-T4-1-40,LiveFeeds,4,1
L-T4-3-43,LiveFeeds,4,3
L-T4-5-13,LiveFeeds,4,5
L-T4-5-19,LiveFeeds,4,5
M-T1-2-40,Mix,1,2
M-T1-3-55,Mix,1,3
M-T1-3-56,Mix,1,3
M-T1-4-46,Mix,1,4
M-T1-5-44,Mix,1,5
M-T2-2-37,Mix,2,2
M-T2-3-19,Mix,2,3
M-T2-4-29,Mix,2,4
M-T2-5-30,Mix,2,5
M-T2-5-35,Mix,2,5
M-T3-3-33,Mix,3,3
M-T3-4-05,Mix,3,4
M-T3-4-18,Mix,3,4
M-T3-5-16,Mix,3,5
M-T3-5-41,Mix,3,5
M-T4-2-02,Mix,4,2
M-T4-3-14,Mix,4,3
M-T4-4-11,Mix,4,4
M-T4-4-26,Mix,4,4
M-T4-5-42,Mix,4,5
P-T1-1-08,Pellets,1,1
P-T1-1-26,Pellets,1,1
P-T1-2-34,Pellets,1,2
P-T1-3-02,Pellets,1,3
P-T1-4-38,Pellets,1,4
P-T2-1-38,Pellets,2,1
P-T2-2-05,Pellets,2,2
P-T2-2-24,Pellets,2,2
P-T2-4-01,Pellets,2,4
P-T2-5-05,Pellets,2,5
P-T3-2-11,Pellets,3,2
P-T3-2-33,Pellets,3,2
P-T3-3-05,Pellets,3,3
P-T3-5-08,Pellets,3,5
P-T3-5-26,Pellets,3,5
P-T4-1-50,Pellets,4,1
P-T4-2-06,Pellets,4,2
P-T4-2-26,Pellets,4,2
P-T4-4-03,Pellets,4,4
P-T4-5-06,Pellets,4,5
S-T10-2-07,SeaSim,1,2
S-T1-5-09,SeaSim,1,5
S-T2-5-05,SeaSim,1,5
S-T3-1-10,SeaSim,1,1
S-T4-2-04,SeaSim,1,2
S-T5-4-09,SeaSim,1,4
S-T6-1-09,SeaSim,1,1
S-T7-3-09,SeaSim,1,3
S-T8-3-03,SeaSim,1,3
S-T9-4-10,SeaSim,1,4
ROT-01,Rotifer,1,0
ROT-02,Rotifer,2,0
ROT-03,Rotifer,3,0
PEL-01,Pellets_diet,1,0
PEL-02,Pellets_diet,2,0
PEL-03,Pellets_diet,3,0
ALG-01,Algae,1,0
ALG-02,Algae,2,0
ALG-03,Algae,3,0
ART-01,Artemia,1,0
ART-02,Artemia,2,0
ART-03,Artemia,3,0