sample_names,treatment,replicate,genotype,fragment
C_T1_2_41,Control,1,2,41
C_T1_2_49,Control,1,2,49
C_T1_4_44,Control,1,4,44
C_T1_4_45,Control,1,4,45
C_T1_5_28,Control,1,5,28
C_T2_2_14,Control,2,2,14
C_T2_2_21,Control,2,2,21
C_T2_3_41,Control,2,3,41
C_T2_4_23,Control,2,4,23
C_T2_5_38,Control,2,5,38
C_T3_5_40,Control,3,5,40
C_T3_3_12,Control,3,3,12
C_T3_1_4,Control,3,1,4
C_T3_4_33,Control,3,4,33
C_T3_4_34,Control,3,4,34
C_T4_1_29,Control,4,1,29
C_T4_2_12,Control,4,2,12
C_T4_3_21,Control,4,3,21
C_T4_4_37,Control,4,4,37
C_T4_5_7,Control,4,5,7
D_T1_1_21,Dissolved,1,1,21
D_T1_2_46,Dissolved,1,2,46
D_T1_3_23,Dissolved,1,3,23
D_T1_4_40,Dissolved,1,4,40
D_T1_4_43,Dissolved,1,4,43
D_T2_2_31,Dissolved,2,2,31
D_T2_3_25,Dissolved,2,3,25
D_T2_4_20,Dissolved,2,4,20
D_T2_5_1,Dissolved,2,5,1
D_T2_5_15,Dissolved,2,5,15
D_T3_2_51,Dissolved,3,2,51
D_T3_3_32,Dissolved,3,3,32
D_T3_4_32,Dissolved,3,4,32
D_T3_5_4,Dissolved,3,5,4
D_T3_5_10,Dissolved,3,5,10
D_T4_2_25,Dissolved,4,2,25
D_T4_2_36,Dissolved,4,2,36
D_T4_4_2,Dissolved,4,4,2
D_T4_4_28,Dissolved,4,4,28
D_T4_5_14,Dissolved,4,5,14
F_T1_1_20,Fish,1,1,20
F_T1_2_50,Fish,1,2,50
F_T1_3_57,Fish,1,3,57
F_T1_4_47,Fish,1,4,47
F_T1_4_48,Fish,1,4,48
F_T2_2_15,Fish,2,2,15
F_T2_3_22,Fish,2,3,22
F_T2_3_27,Fish,2,3,27
F_T2_3_38,Fish,2,3,38
F_T2_5_3,Fish,2,5,3
F_T3_1_16,Fish,3,1,16
F_T3_2_7,Fish,3,2,7
F_T3_2_29,Fish,3,2,29
F_T3_4_6,Fish,3,4,6
F_T3_4_9,Fish,3,4,9
F_T4_1_30,Fish,4,1,30
F_T4_2_20,Fish,4,2,20
F_T4_3_42,Fish,4,3,42
F_T4_4_8,Fish,4,4,8
F_T4_5_43,Fish,4,5,43
FL_T1_3_1,Field,1,3,1
FL_T10_3_10,Field,1,3,10
FL_T2_2_4,Field,1,2,4
FL_T3_4_3,Field,1,4,3
FL_T4_4_5,Field,1,4,5
FL_T5_2_7,Field,1,2,7
FL_T6_5_8,Field,1,5,8
FL_T7_5_4,Field,1,5,4
FL_T8_1_8,Field,1,1,8
FL_T9_1_6,Field,1,1,6
L_T1_2_1,LiveFeeds,1,2,1
L_T1_2_22,LiveFeeds,1,2,22
L_T1_3_15,LiveFeeds,1,3,15
L_T1_4_27,LiveFeeds,1,4,27
L_T1_5_1,LiveFeeds,1,5,1
L_T2_2_8,LiveFeeds,2,2,8
L_T2_3_20,LiveFeeds,2,3,20
L_T2_3_38,LiveFeeds,2,3,38
L_T2_4_42,LiveFeeds,2,4,42
L_T2_5_33,LiveFeeds,2,5,33
L_T3_1_13,LiveFeeds,3,1,13
L_T3_1_19,LiveFeeds,3,1,19
L_T3_2_4,LiveFeeds,3,2,4
L_T3_2_32,LiveFeeds,3,2,32
L_T3_5_21,LiveFeeds,3,5,21
L_T4_1_33,LiveFeeds,4,1,33
L_T4_1_40,LiveFeeds,4,1,40
L_T4_3_43,LiveFeeds,4,3,43
L_T4_5_13,LiveFeeds,4,5,13
L_T4_5_19,LiveFeeds,4,5,19
M_T1_2_40,Mix,1,2,40
M_T1_3_55,Mix,1,3,55
M_T1_3_56,Mix,1,3,56
M_T1_4_46,Mix,1,4,46
M_T1_5_44,Mix,1,5,44
M_T2_2_37,Mix,2,2,37
M_T2_3_19,Mix,2,3,19
M_T2_4_29,Mix,2,4,29
M_T2_5_30,Mix,2,5,30
M_T2_5_35,Mix,2,5,35
M_T3_3_33,Mix,3,3,33
M_T3_4_5,Mix,3,4,5
M_T3_4_18,Mix,3,4,18
M_T3_5_16,Mix,3,5,16
M_T3_5_41,Mix,3,5,41
M_T4_2_2,Mix,4,2,2
M_T4_3_14,Mix,4,3,14
M_T4_4_11,Mix,4,4,11
M_T4_4_26,Mix,4,4,26
M_T4_5_42,Mix,4,5,42
P_T1_1_8,Pellets,1,1,8
P_T1_1_26,Pellets,1,1,26
P_T1_2_34,Pellets,1,2,34
P_T1_3_2,Pellets,1,3,2
P_T1_4_38,Pellets,1,4,38
P_T2_1_38,Pellets,2,1,38
P_T2_2_5,Pellets,2,2,5
P_T2_2_24,Pellets,2,2,24
P_T2_4_1,Pellets,2,4,1
P_T2_5_5,Pellets,2,5,5
P_T3_2_11,Pellets,3,2,11
P_T3_2_33,Pellets,3,2,33
P_T3_3_5,Pellets,3,3,5
P_T3_5_8,Pellets,3,5,8
P_T3_5_26,Pellets,3,5,26
P_T4_1_50,Pellets,4,1,50
P_T4_2_6,Pellets,4,2,6
P_T4_2_26,Pellets,4,2,26
P_T4_4_3,Pellets,4,4,3
P_T4_5_6,Pellets,4,5,6
S_T1_5_9,SeaSim,1,5,9
S_T10_2_7,SeaSim,1,2,7
S_T2_5_5,SeaSim,1,5,5
S_T3_1_10,SeaSim,1,1,10
S_T4_2_4,SeaSim,1,2,4
S_T5_4_9,SeaSim,1,4,9
S_T6_1_9,SeaSim,1,1,9
S_T7_3_9,SeaSim,1,3,9
S_T8_3_3,SeaSim,1,3,3
S_T9_4_10,SeaSim,1,4,10
AL_T1_na_na,Algae,1,na,na
AL_T2_na_na,Algae,2,na,na
AL_T3_na_na,Algae,3,na,na
A_T1_na_na,Artemia,1,na,na
A_T2_na_na,Artemia,2,na,na
A_T3_na_na,Artemia,3,na,na
P_T1_na_na,Pellets_D,1,na,na
P_T2_na_na,Pellets_D,2,na,na
P_T3_na_na,Pellets_D,3,na,na
R_T1_na_na,Rotifers,1,na,na
R_T2_na_na,Rotifers,2,na,na
R_T3_na_na,Rotifers,3,na,na